name,brand,price,bang_tan_2g,bang_tan_3g,battery_capacity,battery_life,bluetooth,brand,brand_country,camera_sau,camera_truoc,cart_slot,charge_time,chip_do_hoa,chip_set,chuc_nang_khac,connect_khac,connect_nfc,cpu_speed,den_flash,dimensions,display_type,fm_radio,ghi_am,gps,ho_tro_4g,ho_tro_5g,included_accessories,is_authentic,is_warranty_applied,item_model_number,jack_headphone,kha_dung,khe_sim,loai_pin,loai_sim,luu_y,manufacturer_electronics,material,nghe_nhac,organization_address,organization_name,origin,part_number,pin_co_the_thao_roi,port_sac,product_weight,quay_phim,ram,resolution,rom,screen_size,seller_delivery_method,service_highlight_1,service_highlight_2,service_highlight_3,the_ngoai_toi_da,tinh_nang_camera,vat_taxable,video_call,warranty_form,warranty_time_period,wifi,xem_phim
Điện Thoại Samsung A05s 4GB/128GB - Hàng Chính Hãng,Samsung,3429000,,,5000 mAh,,v5.1,Samsung,,,,MicroSD,,4 nhân 2.4 GHz &amp; 4 nhân 1.9 GHz,Snapdragon 680 8 nhân,,,,,,<p>Dài 168 mm - Ngang 77.8 mm - Dày 8.8 mm - Nặng 194 g</p>,PLS LCD,,,,,,"<p>Bộ sản phẩm bao gồm: Thân máy, cáp dữ liệu, tài liệu hướng dẫn, dụng cụ lấy sim</p>",Có,Có,Samsung A05s 4GB/128GB,3.5 mm,,2,Li-Po,Nano SIM,,,Khung &amp; Mặt lưng nhựa,,,,,,,Type-C,Nặng 194 g,,4GB,,128GB,6.7 inch,,,,,Hỗ trợ tối đa 1 TB,,Có,,Điện tử,12,"Wi-Fi Direct,  Wi-Fi 802.11 a/b/g/n/ac,  Dual-band (2.4 GHz/5 GHz)",
XIAOMI 13T 5G (12GB-256GB) - Hàng chính hãng,Xiaomi,11190000,,,,"Dung lượng pin này đáp ứng nhu cầu của cả người dùng thông thường và người yêu công nghệ, cho phép bạn sử dụng điện thoại suốt cả ngày mà không cần phải lo lắng về việc máy sẽ sớm hết pin.",Có,Xiaomi,,,,Đang cập nhật,,, MediaTek Dimensity 8200-Ultra,IP68," NFC, Hồng ngoại",," 1 nhân 3.1 GHz, 3 nhân 3 GHz &amp; 4 nhân 2 GHz",,<p>Dài 162.2 mm - Ngang 75.7 mm - Dày 8.49 mm (Kính) | 8.62 mm (Da) - Nặng 197 g (Kính) | 193 g (Da)</p>,AMOLOED,,,,,,"<p><a><span class=""content-t__list__item__desc"">Bộ sản phẩm gồm: Hộp, Sách hướng dẫn, Cây lấy sim, Ốp lưng, Cáp Type C, Củ sạc nhanh rời đầu Type A</span></a></p>",Có,Có,,Type-C,245 GB,2, Li-Po,Nano Sim,,, Khung kim loại &amp; Mặt lưng kính hoặc da nhân tạo (Xanh dương),,,,,,,Type-C,Nặng 197 g (Kính) | 193 g (Da),,,1080 x 2408 (FHD+),,6.67 inch,,,,,Đang cập nhật,,Có,,Điện tử,24," Wi-Fi MIMO, Wi-Fi 6, Wi-Fi Direct, Dual-band (2.4 GHz/5 GHz)",
Điện thoại Samsung Galaxy A04 (3GB/32GB) - Đã kích hoạt bảo hành điện tử -  Hàng chính hãng,Samsung,2050000,,,,,,Samsung,,,,,,,,,,,,,,,,,,,,,Có,Có,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Có,,Điện tử,12,,
Điện thoại Xiaomi Redmi 12C (4GB/64GB) - Hàng chính hãng,Xiaomi,2450000,,,,,"A2DP,  LE,  v5.1",Xiaomi,,,, MicroSD,,,MediaTek Helio G85 8 nhân,Mở khóa bằng vân tay,"BDS, GALILEO, GLONASS",, 2 nhân 2.0 GHz &amp; 6 nhân 1.8 GHz,,<p>Dài 168.8 mm - Ngang 76.4 mm - Dày 8.8 mm</p>, IPS LCD,,,,,,"<p>Bộ sản phẩm gồm: Hộp, Sách hướng dẫn, Cây lấy sim, Phiếu bảo hành, Cáp microUSB, Củ sạc rời đầu Type A</p>",Có,Có,, 3.5 mm,64GB,2, Li-Po,Nano SIM,,, Nguyên khối,,,,,,, Micro USB,Nặng 192 g,,,HD+ (720 x 1600 pixels),,6.7 inch,,,,, 512 GB,,Có,,Điện tử,18,"Dual-band (2.4 GHz/5 GHz),  Wi-Fi Direct,  Wi-Fi 802.11 a/b/g/n/ac",
Điện thoại Gaming Nubia Neo | 18(8+10)GB/256GB | 6.6'' FHD+ 120Hz | Unisoc T820 | Sạc 22.5W | Hàng Chính Hãng,Redmagic,4690000,,,,,5.0,Redmagic,,,,256GB,1h-1h30,,Unisoc T820,,,,2.7Ghz,,<p>163.7 x 75 x 7.98mm</p>,IPS LCD,,,,,,"<p>Ốp lưng, dây sạc, adapter, que chọc sim, sách hướng dẫn.</p>",Có,Có,Nubia Neo,3.5mm,256GB,2,,Nano Sim,,,Nhựa,,,,,,,Type - C,300g,,,1080 x 2408 (FHD+),,6.6 inch,,,,,,,Có,,Hóa đơn,18,Có,
Điện thoại Xiaomi Redmi Note 12 Pro 4G (8GB/256GB) - Hàng chính hãng,Xiaomi,6630000,,,5000 mAh,,"LE, v5.0, A2DP",Xiaomi,,,," MicroSD, hỗ trợ tối đa 1 TB",, Adreno 618,Snapdragon 732G 8 nhân,"Mở khoá vân tay cạnh viền, ở khoá khuôn mặt","Hồng ngoại, NFC",,2 nhân 2.2 GHz &amp; 6 nhân 1.8 GHz,Có,<p>Dài 164.2 mm - Ngang 76.1 mm - Dày 8.12 mm</p>,AMOLED,,Có,Có,Có,,"<p>Bộ sản phẩm gồm: Hộp, Sách hướng dẫn, Cây lấy sim, Ốp lưng, Cáp Type C, Củ sạc nhanh rời đầu Type A</p>",Có,Có,Xiaomi Redmi Note 12 Pro 4G (8GB/256GB),3.5 mm,235 GB,2 ,Li-Po,2 Nano SIM (SIM 2 chung khe thẻ nhớ),,,Khung nhựa &amp; Mặt lưng kính,Có,,,,,,Type-C,201.8 g,Có,8 GB,Full HD+ (1080 x 2400 Pixels),256 GB,6.67 inch,,,,,,"Chụp ảnh, quay phim",Có,Có,Điện tử,18,"Dual-band (2.4 GHz/5 GHz), Wi-Fi hotspot, Wi-Fi Direct, Wi-Fi 802.11 a/b/g/n/ac ","3GP, AVI, WMV, MP4, MKV"
Điện Thoại Xiaomi Redmi Note 12 4GB/128GB - Hàng Chính Hãng,Xiaomi,3699000,,,,,A2DP,Xiaomi,,,,1 TB,,,Snapdragon 685 8 nhân,,,,,,<p>Dài 165.66 mm - Ngang 75.96 mm - Dày 7.85 mm - Nặng 183.5 g</p>,AMOLED,,,,,,"<p>Bộ sản phẩm bao gồm: Pin, sạc, cáp USB kiểu C, ốp lưng, hướng dẫn, cây tháo sim.</p>",Có,Có,Xiaomi Redmi Note 12 4GB/128GB,3.5 mm,4GB/128GB,2 SIM,Li-Po,2 Nano SIM,,,,,,,,,,Type-C,Nặng 183.5 g,,,,,6.67 inch,,,,,MicroSD,,Có,,Điện tử,18,Dual-band (2.4 GHz/5 GHz),
Điện thoại Xiaomi Redmi Note 12 Pro 5G (8GB/256GB) - Hàng chính hãng ,Xiaomi,8290000,,,5000,, v5.2,Xiaomi,,,,Không,,,MediaTek Dimensity 1080 8 nhân, Mở khoá vân tay cạnh viềnMở khoá khuôn mặt," OTG, NFC",, 2.6 GHz,,<p>Dài 162.9 mm - Ngang 76 mm - Dày 7.9 mm - Nặng 187 g</p>, AMOLED,,,,,,"<p>Bộ sản phẩm gồm: Hộp, Sách hướng dẫn, Cây lấy sim, Ốp lưng, Cáp Type C, Củ sạc nhanh rời đầu Type A</p>",Có,Có,, 3.5 mm,230 GB,2,Li-Po,Đang cập nhật,,, Khung nhựa &amp; Mặt lưng kính cường lực Gorilla Glass 5,,,,,,,Type C,187 g,,8GB,Full HD+ (1080 x 2400 Pixels),256GB,6.67 inch,,,,,,,Có,,Điện tử,18,"Wi-Fi Direct, Dual-band (2.4 GHz/5 GHz)  6 GHz",
Điện Thoại Samsung Galaxy A04 (3GB/32GB) - Hàng Chính Hãng - Đã kích hoạt bảo hành điện tử,Samsung,2100000,,,,, v5.0,Samsung,Hàn Quốc,,, MicroSD,, IMG PowerVR GE8320, MediaTek Helio P35 8 nhân, Mở khoá khuôn mặt,BEIDOU  GALILEO  GLONASS,, 4 nhân 2.3 GHz &amp; 4 nhân 1.8 GHz,Có,<p>Dài 164.4 mm - Ngang 76.3 mm - Dày 9.1 mm</p>, IPS LCD,,Có,,Có,,"<p>Bộ sản phẩm gồm: Hộp, Sách hướng dẫn, Cây lấy sim, Cáp Type C, Củ sạc rời đầu Type A</p>",Có,Có,SM-A045F/DS, 3.5 mm, 22 GB, 2, Li-Po,Nano SIM,,Samsung,Khung &amp; Mặt lưng nhựa,,,,Hàn Quốc,,,Type-C,192 g,,,HD+ (720 x 1600 pixels),,6.5 inch,,,,,1 TB,Toàn cảnh (Panorama)  Trôi nhanh thời gian (Time Lapse)  Xóa phông  Zoom kỹ thuật số,Có,,Điện tử,12,Dual-band (2.4 GHz/5 GHz)  Wi-Fi 802.11 a/b/g/n/ac  Wi-Fi Direct,
"Điện thoại Tecno SPARK GO 2023 4GB/64GB - Helio A22 | 5000 mAh | 6,6"" HD+| Cảm ứng vân tay | Hàng chính hãng | Bảo hành chính hãng 13 tháng",Tecno,2179000,,,,,,Tecno,Việt Nam,,,,,,,,,,,,,,,,,,,"<p>* Bộ sản phẩm gồm: bộ sạc, sách HDSD, tai nghe, ốp lưng.</p>",Có,Có,,,64GB,2,,,,,,,,,Việt Nam,,,,,,,,,,,,,,,,,,Điện tử,12,,
Điện Thoại Smartphone KXD EL D68 3GB/32GB - Hàng chính hãng,Itel,1077000,,,3600mah,,,Itel,Ấn Độ,,,,,,MTK6739 Quad core,,,,,,,,,,,,,,Có,Có,,,32GB,2,,,,,,,,,,,,Micro,,,3GB,,32GB,6.09 inch,,,,,,,Có,,Điện tử,12,,
Điện Thoại Samsung Galaxy S23 Ultra 5G (8GB/256GB) - Hàng Chính Hãng,Samsung,21990000,,, 5000 mAh,, v5.3,Samsung,Hàn Quốc,,,,, Adreno 740, Snapdragon 8 Gen 2 8 nhân,,,," 1 nhân 3.36 GHz, 4 nhân 2.8 GHz &amp; 3 nhân 2 GHz",,<p>Dài 163.4 mm - Ngang 78.1 mm - Dày 8.9 mm</p>, Dynamic AMOLED 2X,,,Có,Có,Có,"<p>Bộ sản phẩm gồm: Cáp Type C, Cây lấy sim, Hộp, Sách hướng dẫn</p>",Có,Có,SM-S918BZRQXXV,Type-C,216.6 GB,2, Li-Ion,2 Nano SIM hoặc 1 Nano SIM + 1 eSIM,"Sản phẩm được bán bởi Antam Trading là hàng mới 100%, mới được kích hoạt bảo hành điện tử, nguyên seal chưa khui hộp, được phân phối chính hãng tại Việt Nam, có đầy đủ tem nhãn phụ của nhà phân phối theo quy định. Bảo hành 12 tháng kể từ ngày nhận tại TTBH Samsung hoặc Antam Trading.",Samsung, Khung nhôm &amp; Mặt lưng kính cường lực,,,,Việt Nam,,,Type-C,223 g,,8GB, 2K+ (1440 x 3088 Pixels),256GB,6.8 inch,,,,,,,Có,,Điện tử,12, Wi-Fi Direct  Dual-band (2.4 GHz/5 GHz)  Wi-Fi 802.11 a/b/g/n/ac/ax  6 GHz,
Điện Thoại OPPO A77s (8GB/128GB) - Hàng Chính Hãng,OPPO,5050000,,,,, v5.0,OPPO,,,, MicroSD,,,Snapdragon 680 8 nhân, Mở khoá khuôn mặtMở khoá vân tay cạnh viền, OTG,, 2.4 GHz,,<p>Dài 163.74 mm - Ngang 75.03 mm - Dày 7.99 mm</p>, IPS LCD,,,,,,"<p>Bộ sản phẩm gồm: Cây lấy sim, Cáp Type C, Củ sạc rời đầu Type A, Hộp, Sách hướng dẫn</p>",Có,Không,A77s, 3.5 mm,113 GB,2, Li-Po,Nano SIM,,, Khung nhựa &amp; Mặt lưng thuỷ tinh hữu cơ, FLAC  OGG MP3  Midi,,,Trung Quốc,,không,Type-C,Nặng 187 g,,8GB,720 x 1612 (HD+),128GB,6.56 inch,,,,,1 TB,,Có,,,, Dual-band (2.4 GHz/5 GHz)Wi-Fi 802.11 a/b/g/n/ac,
Điện thoại Samsung Galaxy Z Flip 5 - Hàng chính hãng,Samsung,18990000,,,,,,Samsung,,,,,,,,,,,,,,,,,,,,,Có,Có,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Có,,Điện tử,12,,
Điện thoại Samsung Galaxy S21 FE 5G (8GB/128GB) - Hàng chính hãng,Samsung,10290000,,,4500mAh,,v5.0,Samsung,Hàn Quốc," Chính 12 MP & Phụ 12 MP, 8 MP", 32 MP,,,Mali-G78 MP14,Exynos 2100 8 nhân,," OTG, NFC",Có,"1 nhân 2.9 GHz, 3 nhân 2.8 GHz & 4 nhân 2.2 GHz",Có,<p>Dài 155.7 mm - Ngang 74.5 mm - Dày 7.9 mm</p>,Dynamic AMOLED 2X,," Ghi âm mặc định, Ghi âm cuộc gọi"," GPS, GLONASS, GALILEO, BEIDOU",Có,Có,,Có,Có,	S21 FE 5G, Type-C,115 GB,	2 Nano SIM, Li-Ion,Nano SIM,,,Khung kim loại & Mặt lưng nhựa," WAV, AAC, OGG, MP3, AMR, FLAC, M4A",,,Việt Nam,,Pin liền,Type C,177g," FullHD 1080p@60fps, 4K 2160p@60fps",8GB,Full HD+ (1080 x 2400 Pixels), 128 GB,6.4 inch,,,,,," Quay video hiển thị kép, Chuyên nghiệp (Pro), HDR, Toàn cảnh (Panorama), Ban đêm (Night Mode), Quay chậm (Slow Motion), Trôi nhanh thời gian (Time Lapse), Xóa phông, Zoom kỹ thuật số, Góc siêu rộng (Ultrawide)",Có,,Điện tử,12," Wi-Fi Direct, Wi-Fi hotspot, Dual-band (2.4 GHz/5 GHz), Wi-Fi 802.11 a/b/g/n/ac/ax","MP4, 3GP, AVI, MKV, FLV"
Điện thoại Samsung Galaxy S23 Plus 5G (8GB/512GB) - Hàng chính hãng ,Samsung,21290000,,,4700 mAh,,v5.3,Samsung,Hàn Quốc,"Chính 50 MP & Phụ 12 MP, 10 MP",12 MP,Không,,Adreno 740,Snapdragon 8 Gen 2 8 nhân,"Sạc siêu nhanh 2.0 45W, Chia sẻ pin không dây",,Có,"1 nhân 3.36 GHz, 4 nhân 2.8 GHz & 3 nhân 2 GHz",Có,Dài 157.8 mm - Ngang 76.2 mm - Dày 7.6 mm,"Infinity-O, Dynamic AMOLED 2X (48~120Hz)",,,"GPS
-
GLONASS
-
GALILEO
-
BEIDOU",Có,Có,"Cáp Type C, Cây lấy sim, Hộp, Sách hướng dẫn",Có,Có,Galaxy S23 Plus 5G,Type-C,,2,Li-Ion,2 Nano SIM hoặc 1 Nano SIM + 1 eSIM,,,Khung nhôm & Mặt lưng kính cường lực,"WAV
-
AAC
-
OGG
-
MP3
-
AMR
-
Midi
-
M4A",,,Việt Nam,,Pin liền thân máy,Type-C,195 g,"HD 720p@30fps
-
FullHD 1080p@60fps
-
4K 2160p@30fps
-
4K 2160p@60fps
-
FullHD 1080p@30fps
-
8K 4320p@30fps",8GB,Full HD+ (1080 x 2340 Pixels),512GB,6.6 inch,,,,,,"Ảnh Raw
-
Chuyên nghiệp (Pro)
-
Tự động lấy nét (AF)
-
Toàn cảnh (Panorama)
-
Quay Siêu chậm (Super Slow Motion)
-
Nhãn dán (AR Stickers)
-
Làm đẹp
-
Ban đêm (Night Mode)
-
Zoom quang học
-
AI Camera
-
Live Photo
-
Bộ lọc màu
-
Quay chậm (Slow Motion)
-
Xóa phông
-
Zoom kỹ thuật số
-
Chống rung quang học (OIS)
-
Trôi nhanh thời gian (Time Lapse)
-
Góc siêu rộng (Ultrawide)",Có,"Gọi qua ứng dụng Zalo, Messenger,…",Điện tử,12,"Wi-Fi Direct
-
Dual-band (2.4 GHz/5 GHz)
-
Wi-Fi 802.11 a/b/g/n/ac/ax
-
6 GHz","MP4
-
3GP
-
AVI
-
MKV
-
FLV"
Điện thoại Xiaomi 13T Pro (12GB/512GB) - Hàng chính hãng ,Xiaomi,14500000,,,5000mah,, v5.3,Xiaomi,,,,Không,,Immortalis-G715,MediaTek Dimensity 9200+ 5G 8 nhân,"Loa âm thanh nổi, IP68","GPS (L1+L5), GLONASS (G1), BDS (B1I+B1c+B2a), GALILEO (E1+E5a), QZSS (L1+L5), NavIC (L5)",,"1 nhân 3.35 GHz, 3 nhân 3 GHz &amp; 4 nhân 2 GHz",Có,<p>Dài 162.2 mm - Ngang 75.7 mm - Dày 8.49 mm (Kính) | 8.62 mm (Da) - Nặng 206 g (Kính) | 200 g (Da)</p>,Màn OLED 1.5K,,,,,Có,<p>Củ sạc 120W - cáp sạc - ốp lưng - que chọc sim.</p>,Có,Có,xiaomi13tpro,Type-C,Đang cập nhật,2 ,Li-Po,Nano,,,Khung kim loại &amp; Mặt lưng kính hoặc da nhân tạo (Xanh dương),,,,,,,Type-C,Nặng 206 g (Kính) | 200 g (Da),,12,1284 x 2778 pixels,512,6.67 inch,,,,,Đang cập nhật,,Có,,Điện tử,24,Wifi 7,
Điện Thoại Samsung Galaxy A54 5G (8GB/128GB) - Hàng Chính Hãng - Đã kích hoạt bảo hành điện tử,Samsung,7550000,,,,, v5.3,Samsung,,,, MicroSD,, Mali-G68, Exynos 1380 8 nhân," Mở khoá vân tay dưới màn hình, Mở khoá khuôn mặt","OTG,  Hồng ngoại,  NFC",, 4 nhân 2.4 GHz &amp; 4 nhân 2 GHz,,<p>Dài 158.2 mm - Ngang 76.7 mm - Dày 8.2 mm</p>,Super AMOLED,,,,,,"<p>Bộ sản phẩm gồm: Hộp, Sách hướng dẫn, Cây lấy sim, Cáp Type C</p>",Có,Có,SM-A546E/DS, Type-C,113 GB,2, Li-Po,Nano SIM,,Samsung, Khung nhựa &amp; Mặt lưng kính cường lực Gorilla Glass 5,,,,Việt Nam,,, Type-C,Nặng 202 g,,8GB,Full HD+ (1080 x 2340 Pixels),128GB,6.4 inch,,,,,1 TB,,Có,,Điện tử,12," Wi-Fi 802.11 a/b/g/n/ac,  Wi-Fi Direct,  Wi-Fi hotspot,  Dual-band (2.4 GHz/5 GHz),  Wi-Fi MIMO",
Điện Thoại Samsung Galaxy Z Flip5 5G - Hàng Chính Hãng - Đã kích hoạt bảo hành điện tử,Samsung,17790000,,,3700,, v5.3,Samsung,Hàn Quốc,,,,, Adreno 740, Snapdragon 8 Gen 2 for Galaxy,"Mở khoá khuôn mặt, Mở khoá vân tay cạnh viền","NFC, OTG",," 1 nhân 3.36 GHz, 4 nhân 2.8 GHz &amp; 3 nhân 2 GHz",Có,<p>Dài 165.1 mm - Ngang 71.9 mm - Dày 6.9 mm - Nặng 187 g</p>,"Chính: Dynamic AMOLED 2X, Phụ: Super AMOLED",,,Có,,Có,"<p>Bộ sản phẩm gồm: Hộp, Sách hướng dẫn, Cây lấy sim, Cáp Type C</p>",Có,Có,Samsung Galaxy Z Flip5 5G ,Type-C,,2, Li-Po,1 Nano SIM &amp; 1 eSIM,,, Khung nhôm &amp; Mặt lưng kính cường lực,,,,,,,Type-C,187 g,,8GB,FHD+ (2640 x 1080 Pixels) ,256GB,6.7 inch,,,,,,,Có,,Điện tử,12,"Wi-Fi MIMO,   Dual-band (2.4 GHz/5 GHz),  Wi-Fi 802.11 a/b/g/n/ac/ax",
Điện thoại OPPO A55s 5G 4GB/64GB - Màn 90hz - Chống nước IP68 - Hàng nhập khẩu - Bản quốc tế ,OPPO,2832000,,,4000mah,,,OPPO,,,,,,,Snapdragon 480 5G,,,,,,,,,,,,,,Có,Có,,,,2,,,,,,,,,,,,,,,4GB,,64GB,6.5 inch,,,,,,,Có,,Điện tử,12,,
Điện Thoại Samsung A34 5G 8GB/128GB - Hàng Chính Hãng,Samsung,5820000,,,,,Có,Samsung,,,,,,,Dimensity 1080,,,,,,,AMOLED,,,,,,"<p>Bộ sản phẩm bao gồm: Thân máy, cáp sạc, dụng cụ lấy sim, sách hướng dẫn.</p>",Có,Có,Điện Thoại Samsung A34 5G 8GB/128GB,,8GB/128GB,2 Sim,,2 Nano Sim,,,,,,,,,,Type C,199g,,,,,6.6 inch,,,,,,,Có,,Điện tử,12,Có,
Điện thoại Tecno POVA 5 16GB(8+8)/128GB - MediaTek G99 - Sạc nhanh 45W - 6.8'' FHD+ Tần số quét 120HZ - Hàng Chính Hãng,Tecno,3890000,,,6000mAH,10h,Có,Tecno,Trung Quốc,,,Có,1h30,,HELIO G99,,,,,Có,,,,,,Có,,"<p>Cáp sạc, cốc sạc, sách hướng dẫn, ốp lưng.</p>",Có,Có,Pova 5,,,2,,Nano,,,,,,,Trung Quốc,,,Type - C,400,,8GB,Full HD+ (1080 x 2160 pixels),128GB,6.8 inch,,,,,,,Có,,Hóa đơn,13,,
Điện thoại Tecno POVA 5 (8+8)/256GB - MediaTek Helio G99 - Sạc nhanh 45W - 6.8'' FHD+120HZ - Hàng Chính Hãng -  BH 13 Tháng,Tecno,4790000,,,,,,Tecno,,,,,,,MediaTek G99,,,,,,,IPS LCD,,,,,,,Có,Có,POVA 5 (8+8)/256GB,,,2,,Nano,,,,,,,,,,Type-C,,,,,,6.8 inch,,,,,,,Có,,Điện tử,13,,
Điện thoại Tecno POVA 5 (8GB+8GB/128GB) RAM mở rộng 16GB | Pin 6000 mAh | Màn 120Hz - Sạc nhanh 45W - Hàng Chính Hãng			 				,Tecno,3799000,,,6000mah,,Có,Tecno,,,,,,,CPU Mediatek MT8781 Helio G99 (6nm),,,,,,,,,,,,,,,Có,,,128GB,2,,,,,,,,,,,,,,,8GB,,128GB,6.78 inch,,,,,,,Có,,Điện tử,12,,
Điện thoại vivo Y22s (8GB - 128GB) - Hàng Chính Hãng,Vivo,4590000,,,5000mAh (TYP),,Bluetooth 5.0,Vivo,,,,,,,Qualcomm Snapdragon 680,,,,, camera sau,<p>164.30×76.10×8.38mm</p>,LCD,,,,Có,không,"<p>Y22s, Sách hướng dẫn, Dây USB, Củ sạc USB, Que lấy SIM, Ốp lưng, Miếng dán màn hình (dán sẵn)</p>",Có,Có,Y22s,,128,2,,Nano SIM,,,Polymer cao cấp 2.5D,,,,Trung Quốc,,,Type C,192g,MP4,8GB,HD+ (720 x 1600 pixels),128GB,6.55 inch,,,,,,"Chụp đêm (trước và sau), Chân dung, Chụp ảnh, Quay video, Độ phân giải cao, Chụp toàn cảnh, Live Photo, Quay chuyển động chậm, Quay tua nhanh thời gian, Chế độ chuyên nghiệp, DOC",Có,,Điện tử,12,2.4GHz /5GHz,
[MỚI] Điện thoại vivo Y17s - Hàng chính hãng - Camera 50MP - Pin 5000 mAh - Sạc nhanh- RAM mở rộng đến 8GB,Vivo,3990000,,,,,,Vivo,,,,,,,,,,,,,<p>6.51 inch</p>,,,,,,,"<p>Tai nghe có dây</p>
<p>Cáp sạc</p>
<p>Củ sạc</p>
<p>Ốp lưng </p>",Có,Có,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Không,,Điện tử,12,,
"[Mới] Điện thoại vivo V29e 5G (8GB/256GB) - Hàng Chính Hãng - Camera Selfie 50 MP - Vòng Sáng Aura 2.0 - Màn hình AMOLED 6.67""",Vivo,8990000,,,4800 mAh,,,Vivo,,,,,,,,,,,,,,AMOLED,,,,,,"<p>Ốp lưng trong suốt</p>
<p>Miếng dáng bảo vệ màn hình</p>
<p>Cáp sạc, củ sạc</p>
<p> </p>",Có,Có,V Series,3.5mm,,,,Nano,,,,,,,,,,,190g,,8GB,,256GB,6.67 inch,,,,,,,Có,,Điện tử,12,,
Điện thoại Samsung Galaxy M14 5G (4GB/64GB) - Hàng chính hãng - Đã kích hoạt bảo hành điện tử,Samsung,3550000,,,6000,,v5.2,Samsung,,,,MicroSD (lên đến 1TB),,,Exynos 1330 (5nm),"Cảm biến vân tay, nhận diện khuôn mặt",,,"2.4GHz, 2GHz",Có,"<p>Kích thước: 166.8 x 77.2 x 9.4 mm</p>
<p>Nặng: 206 g</p>",PLS LCD,,Có,Có,,Có,"<p>Bộ sản phẩm gồm: Hộp, Sách hướng dẫn, Cây lấy sim, Cáp Type C</p>",Có,Có,Samsung Galaxy M14 5G,3.5mm,4GB,2,Không tháo rời,SIM Nano,,Samsung,Nhựa,Có,,,,,,Type C,206g,,4GB,1080 x 2408 (FHD+),128GB,6.6 inch,,,,,1TB,,Có,Có,Điện tử,12,"802.11 a/b/g/n/ac 2.4G+5GHz, VHT80",
Điện thoại VIVO Y02t - Hàng chính hãng - Pin Khủng 5000mAh - Màn hình 6.51HD+,Vivo,2990000,,,5.000 mAh,,v5.0,Vivo,,,,microSD,,, Helio P35,,,,,,<p>163.99 × 75.63 × 8.49 mm</p>,IPS LCD,,,"QZSS, GPS, BeiDou, GLONASS, Galileo",4G,không,<p>Đầu sạc &#43; Dây cáp sạc</p>,Có,Có,Y02t (4GB/64GB),,,,,,,,,,,,,,,Type C,,,4GB,HD+ (720 x 1600 pixels),,6.5 inch,,,,,,,Có,,Hóa đơn,12,,
Điện thoại Masstel Hapi 30 (3GB/32GB) - Hàng chính hãng,Masstel,1175000,,,3000 mah,,,Masstel,Việt Nam,,,,,,Chip Speadtrum SC9863A 8 Nhân 1.6GHz,,,,,,,,,,,,,,Có,Có,,,,,,,,,,,,,,,,,,,3GB,,32GB,6.26 inch,,,,,,,Có,,Điện tử,12,,
